run_id	LLM	pipeline
D_naverloo-frgpt4	GPT-4	First stage is an ensemble of BM25 + SPLADE++SD + SPLADE++ED + SLIM + AGGRetriever%0ASecond stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro%0AThird step is an ensemble of 3 duo rankers over the top50%0AduoT5%0APRP-FlanT5-3b%0APRP-FlanT5-UL2%0AFourth step is RankGPT4 over the top30, which is then ensemble with the 3rd stage%0A
D_naverloo_bm25_RR	T5	First stage is BM25, second stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro%0A
D_naverloo_bm_splade_RR	RankT5	First stage is BM25+SPLADE++ED+SPLADE++SD, second stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro
WatS-Augmented-BM25	GPT	Pyserini indexing the corpus.:No training.::100:no-prompt-no:A100 80G, about 840 minutes. The code was not optimized for efficiency. This run is for proof of concept.:Prompting a LLM to rewrite queries.
uogtr_dph	-	Lexical indexing of msmarco-passage-v2; using CPU:None::000:no-trad-yes:DPH; using CPU:Performs DPH on the entire msmarco-passage-v2 inverted index.
uogtr_dph_bo1	-	no-trad-yes:DPH; Bo1 expansion; DPH; using CPU:Performs DPH with Bo1 query expansion on the entire msmarco-passage-v2 inverted index.
uogtr_be	-	no-nnlm-yes:BM25; ELECTRA re-ranking; using CPU and GPU:BM25 retrieval, re-ranked using crystina-z/monoELECTRA_LCE_nneg31
uogtr_se	-	SPLADE inference and indexing of msmarco-passage-v2; using CPU and GPU:We use publicly available trained models. No new training costs were made for this submission.::010:no-nnlm-yes:SPLADE query encoding; TF; ELECTRA re-ranking; using CPU and GPU:SPLADE retrieval using naver/splade-cocondenser-ensembledistil, re-ranked using crystina-z/monoELECTRA_LCE_nneg31
uogtr_s	-	no-nnlm-yes:SPLADE query encoding; TF; using CPU and GPU:SPLADE retrieval using naver/splade-cocondenser-ensembledistil
uogtr_se_gb	-	no-nnlm-no:SPLADE query encoding; TF, BM25 Graph adaptive rerank, ELECTRA re-ranking; using CPU and GPU:SPLADE retrieval using naver/splade-cocondenser-ensembledistil,  adaptive reranking using crystina-z/monoELECTRA_LCE_nneg31 with BM25 Graph
uogtr_be_gb	-	no-nnlm-no:BM25, BM25 Graph adaptive rerank, ELECTRA reranking; Using GPU and CPU:BM25 over entire msmarco-passage-v2 inverted index,adaptive reranking using crystina-z/monoELECTRA_LCE_nneg31 with BM25 Graph
uogtr_qr_be_gb	FlanT5	no-prompt-no:FLANT5-XXL Generative Query Reformulation, BM25 Graph adaptive rerank,ELECTRA reranking; Using GPU and CPU:Generative query expansion using google/flant5-xxl (8-bit quantized), BM25 over entire msmarco-passage-v2 inverted index, adaptive reranking using crystina-z/monoELECTRA_LCE_nneg31 with BM25 Graph
uogtr_b_grf_e	FlanT5	no-prompt-no:BM25, FLANT5-XXL Generative Relevance Feedback, ELECTRA reranking; Using CPU and GPU:BM25 over entire msmarco-passage-v2 inverted index, Generative relevance feedback using google/flant5-xxl (8 bit quantized), reranking using crystina-z/monoELECTRA_LCE_nneg31
uogtr_qr_be	FlanT5	no-prompt-no:FLANT5-XXL Generative Query Reformulation, BM25, ELECTRA reranking; Using GPU and CPU:Generative query expansion using google/flant5-xxl (8-bit quantized), BM25 over entire msmarco-passage-v2 inverted index, reranking using crystina-z/monoELECTRA_LCE_nneg31
uogtr_b_grf_e_gb	FlanT5	no-prompt-no:FLANT5-XXL Generative Query Reformulation, BM25 Graph adaptive rerank,ELECTRA reranking; Using GPU and CPU:Generative query expansion using google/flant5-xxl (8-bit quantized), BM25 over entire msmarco-passage-v2 inverted index, adaptive reranking using crystina-z/monoELECTRA_LCE_nneg31 with BM25 Graph
